Filename,Polyglot_Type,VT_Analysis_ID,Analysis_Status,Malicious_Engines,Undetected_Engines
afd4beb3efb2aac7e0f40c5c8544193fb2e2463f1beca8c3db6ac213d507b3e0.sh,original,ODQ2MWNkOGRiNmMyYjgwNTY3MmNlNTA5NjIzMjYzOTQ6MTc3NTIyOTI4OA==,completed,2,60
a741e3152b6363815bf47343189b75609f413b6409232c3a9bc00fec95b12dec.sh,original,Y2M5M2Y3ZTcyOWY5MTE1MzJkMzgxYTU5MWE3ODdhYjk6MTc3NTIyOTMwOA==,completed,23,36
f44f787ed1febf572ad6b20f972e31dba769b8d19e82b55dcbf251efa0ef47ee.sh,original,NDA3NzlhYjVkZWM1MWZhMjM5NTI2MWU4MWFhMDBjM2M6MTc3NTIyOTMyNg==,completed,36,26
6bcae8f7016b166affdff426d2269c23feb5fcf5f482ee809976adea3e0f9453.sh,original,MDM4NDRiZjRiOWI3ZTM5YTQ1YzkxYWVhMjQzZmNjZjc6MTc3NTIyOTM0NQ==,completed,12,49
1a0b015f10ddb6773e33e27b07b24b1cd24a5095409173d587c7cdd247169c7b_cavity.sh,cavity,YjBjYjczYmY2ODJiOTFhN2ZiZjcyODE5NTdmY2Y2YzU6MTc3NTIyOTM5OQ==,completed,1,42
a40ad0e99455b45c535e5e0b12c76bf417a198591dd83b3403ccc02362be11e2_cavity.sh,cavity,ZmI4ZTViMjE2YTdhOWQ2ODcwNzI2ZTAzN2NiOTA2YzI6MTc3NTIyOTQxOA==,completed,21,43
99296550ab836f29ab7b45f18f1a1cb17a102bb81cad83561f615f3a707887d7_cavity.sh,cavity,MGMzNDI0NWNjN2I1Yjk3MTFiZDAwNzc4YzI3ODZkZGY6MTc3NTIyOTQzOA==,completed,6,56
4dc4f0f7d86ce580ec9d5afe792681d8c4ce473e96f21cfaa11cec93b1cf2ae6_cavity.sh,cavity,NDkzNmEwOTg2OGJiNjA5OTUwMTg0ZWI4YWFlMDE4NDU6MTc3NTIyOTQ1Ng==,completed,0,64
e0d7c7df9562bef40c41835803a4af04a04f4f48f201e56c6f60dc58ae8c65e4_cavity.sh,cavity,OWExYzUzODhiZTQxYTU3MDg2ZDUwMzMxYTc2OTUwMjc6MTc3NTIyOTQ3NA==,completed,2,51
2da6979700ca47740c94446df38096017166eecb4206af33aa1d55c9346593ea_cavity.sh,cavity,MTQ0NTcwYTgxMjVhNDY5YmFjMmExNTcyYjJhMjdkNmI6MTc3NTIyOTQ5Mw==,completed,6,58
cefe4982af641fcbb0a1a30faaa639f0de617124bb282aa9394aa2a8ee4634e6_cavity.sh,cavity,NWEzZWIxMDlhNjhiMzllNmU0NjU3MGViNDA1NDM1ZWM6MTc3NTIyOTUxMg==,completed,0,64
c7d62e129de1b306f45aa655f1da8158237b866261df3d1bd1c31ac89f0774c8_cavity.sh,cavity,ZmU2NmJiOWU3YjYzNDY3NTNhODg2YTFhYmZiMzBmMGU6MTc3NTIyOTUzMw==,completed,6,55
1bf4fcd6d035805d44b5ae7ec67860911ed4c43f94e827c988992d0587d1ab40_cavity.sh,cavity,NjNiOWE5MGUwNGViYWQ3MTUxYjk0Y2RmOGE0OGUyYjY6MTc3NTIyOTU1Mw==,completed,20,44
80729e37f797da2b5a177867306318626e52b675f44fa441c256d139e88f69df_cavity.sh,cavity,NzAyZDQ4ZTk4NjJjNWZlNDIzYWQzYjFlZDYyMTMwZmM6MTc3NTIyOTU3Mg==,completed,2,62
83b524467cb1eb5c4807b0f4cec93c5efe6f3b1bbd15f711f4462b15706b863b_cavity.sh,cavity,OWMxYmE4OTc2ZGEyNDhiYjRkZWE4ODAxYjA1NjEyYzA6MTc3NTIyOTU5MQ==,completed,5,57
9fb82d137cef8056c62cc85ba2c04e8776074e8e54d1da80f90596cc07ecde33_cavity.sh,cavity,NjZhYjQ5OWQzNmE5MzY2ZmRlYmVjYWE3MWM5YWY2YjQ6MTc3NTIyOTYzOQ==,completed,1,62
6bcae8f7016b166affdff426d2269c23feb5fcf5f482ee809976adea3e0f9453_cavity.sh,cavity,NmRkMjllZmJiYWM0NDFiNzExMzdmNjZkMGIxZWNhOGI6MTc3NTIyOTY1OA==,completed,4,60
b0847d54bcb077c51e83f03e82f61063ce76325b3467cbb1dcf90eb076a3787e_cavity.sh,cavity,MGE1MDdhZDBhOWY4ZmFmNzBjMDk0N2Y5MzU0NWFjNTc6MTc3NTIyOTY5Ng==,completed,1,63
60f401afeb6054e531916adb8118df45fcd7d4c1d166ac28197c67ecba2ba60c_cavity.sh,cavity,NmRlNmI5YjM1OWM2ZGJiZjhhNDFlZjBhMWFkN2Y4NzY6MTc3NTIyOTcxNA==,completed,3,52
19680b70becbd4f0a44115dfa79a717603d530e2826cc6ff6d5645baba9a05c0_cavity.sh,cavity,MDIwNDk1YjU4NzhlNGJhMTgzOWUwMzJkZjNmNmRjNDE6MTc3NTIyOTczMw==,completed,0,60
9c15f56d1167f8e3cad9bcb719ed6e304e1eb00c84e669325f825f629bc0610d_cavity.sh,cavity,NjRiNmNlMWU1ZWU3Zjk0ZGNiYTRmMjNjNTM4NmVhODM6MTc3NTIyOTc1Mg==,completed,0,64
afc7822d9e561982f5ed22faf76b35ad4b432eaa6cac0cd0fcafc9e67314a8fd_cavity.sh,cavity,OTAyZjMwNmFlMDAxMDlhN2VjMDFmOTQ3MzQxNWMwM2I6MTc3NTIyOTc3Mg==,completed,15,44
a94f8a04854eba70645d92176a8f1d5e7423f3d92fef3ad721e01e594b3cc535_cavity.sh,cavity,YjEwYTkwZDJjYmZiZDRlNWM1ZjQxNjk0ODA4M2Q3ZDI6MTc3NTIyOTc5MA==,completed,0,64
6b94e16e486df4ae0960c0cf0ce0e0425a5b9a4b98ea18503468d4cdde93409e_cavity.sh,cavity,ODBlYTA4MDE2MjA2MjdjN2VmZDBmMGQxZGI2ZGRhNDQ6MTc3NTIyOTgwOQ==,completed,5,59
b81dbc2439873d2a76e44b22c55251243ed2fa6077a7dbfd00a30a7d635ad9a4_cavity.sh,cavity,NGRmZjg2N2JhY2MwOTIzZmVjYzA1YmI0MzhlM2JiZDc6MTc3NTIyOTgyOA==,completed,19,42
5d81829595150eb5f702e5dcc8c0005e95e216e08947fed48b67c35c9ef73708_cavity.sh,cavity,ZTU0YjA2ZmQxZDkwMGM4ODZmYzU1MmY5YmExYmNlMTY6MTc3NTIyOTg0OA==,completed,0,62
c0469c8400de5b76b99f26aa982023f483df42781813ebbbdaf4e4013d8fdabd_cavity.sh,cavity,MDJiNzZlYzQ2ZTRhYTczMmYxNzlhMzJjNWE2Zjk4MzM6MTc3NTIyOTg2Nw==,completed,24,40
465d9e29fd4e7f614deb287428e1b595d291d535de4dfd571ab49da68314bade_cavity.sh,cavity,NTFjMDc4MzU5YWQ2M2Y4NzhhNzA2MTZjZWZmNTA1YTg6MTc3NTIyOTg4Ng==,completed,0,64
1c8ccda72671132190340a819e4689f94fbc317970d1da3dc44fafa8fb9d1456_cavity.sh,cavity,Mzc0Nzg4MzAwNWEwNzE0NDBjY2E4YzJiODk2ZWNlZmY6MTc3NTIyOTkwNA==,completed,0,64
a4904fb5c97b3b784b94adc86b2882ac18a87720783c48fda93db57cd7782a84_cavity.sh,cavity,MjYzZjllODQ2YzVlNWI3NjJiNTM2ODFiZTkxNjFkZTg6MTc3NTIyOTkyNg==,completed,8,55
21c9ee9681865b3f6a20ac8149a5b7d54ab76ad22ab02ba23c4261ee2a303aeb_cavity.sh,cavity,ZmUwMmJlODcyODU3N2U0ZGVlNjE4YmFkNjYzMTFlYTk6MTc3NTIyOTk0NQ==,completed,16,47
afd4beb3efb2aac7e0f40c5c8544193fb2e2463f1beca8c3db6ac213d507b3e0_cavity.sh,cavity,MzVkNDk0ZmNhMTYwMmRjNWI2NjkwMjU2MWRiNjg0YTY6MTc3NTIyOTk2NA==,completed,0,52
2ee89245c6dd3edd3e14f8bc52c866757ad98b97955b181d0cd5dc719004b893_cavity.sh,cavity,YThmNDI1MTdiZWViN2Q5YjY2MzI1ZTQ0MTI5MTdlNGY6MTc3NTIyOTk4Mw==,completed,21,42
351e5de41242d19e1b065712e72fe9e420eebba0e7c25b721ad0ab11c119e555_cavity.sh,cavity,NGJmNGM0YWYwNDkzMjFmNTZlYjVhNTczZTJkMTNkM2M6MTc3NTIzMDAwMg==,completed,0,64
92ab54d8ddfe5a408bb519d720fd58b0745c405991e41ec420f9132cdce57e2f_cavity.sh,cavity,OWMzOGNmY2Y5OGVjZTgyYTY0YWU4ZmU2NWQ3NDNhMmY6MTc3NTIzMDAyMA==,completed,1,62
