Filename,Polyglot_Type,Triage_Sample_ID,Analysis_Status,Triage_Score
927c6d68f6413e437e4a919b2007f6a2ade32be71f80467856ce19a0325b63eb_zipper.js,zipper,260523-wzmskagw7r,reported,0
dd20d29f9571400b35455b7d7423c5700b74bb6f218d6525f880bdf5e2ca63d5_zipper.js,zipper,260523-wzpl6agw8k,reported,0
d7f6af5b758298f74943cc408fd2bb31d825bc94d54f7f376a73493ad330ff8d_zipper.js,zipper,260523-wzw18sbv9w,reported,0
3b02f53d3047588b4c4d0c693f5dd25e1a0bb441170241510a76e81fb963a583_zipper.js,zipper,260523-wzy6labv91,reported,0
be38bb3d0febd6cfca7fee8eae103ac9f3cd7396c69312309ae36261766e3e17_zipper.js,zipper,260523-wz59xabw2w,reported,0
3185940ffe1890653e544476623ba0281e2e33c1b22832fe5f966aa19970adf9_zipper.js,zipper,260523-wz74hagw8r,reported,0
262bb0abdf65d6d2baa592eb249d2693281a1c9c6180d1e46c57e79f52cb37b4_zipper.js,zipper,260523-wz98vsgw9l,reported,0
6943d98c9665944bf66f10971f149e34297c005dcfc6cef83c25d7a9163218a8_zipper.js,zipper,260523-w1b3fsbw2y,reported,0
f4c3833be951dadfb3bf0757f7710af8828c8f4bf81f3434ced633d633a538b2_zipper.js,zipper,260523-w1dw2sbw21,reported,0
a05e19a327fb6c9208abf7866ef09c5efffabc04a80456b49c81c790a40880c5_zipper.js,zipper,260523-w1f2eabw3s,reported,0
c5cbcc786d5f4c5a53611f9c1738bdeaa3e76e0aa91f459438f79b099d5d7064_zipper.js,zipper,260523-w1h6rsbw3w,reported,0
d7ec72f2a254222a970caa80a7d78b6576b54e1c500a69d00b30451ee17575a1_zipper.js,zipper,260523-w1k1csbw3y,reported,0
ccbdf817ba435e666b930c8b8c2447b66581208ff6a870ad2d3f8c670bb18a44_zipper.js,zipper,260523-w1mtysbw31,reported,0
3f6b1ee279af8d5b5f855d3868173829cff0afcb977c037829d3a079a6e66bbb_zipper.js,zipper,260523-w1pnjsgw9n,reported,0
37b86c4a87633aba320b23ef7ecb94b84d175025aa235ebdb2eb0c27b4180931_zipper.js,zipper,260523-w1rg5sgw9r,reported,0
15387da23f7465d5c4ccd137bc21d15d74c0006c7536b92afed5337cdb3e0315_zipper.js,zipper,260523-w1tmhagx2k,reported,0
a3a16d75fa52cca4ec3836c8b7df4eee66b91300f47c5ec432fdcd3819b9294d_zipper.js,zipper,260523-w1wrvsgx2l,reported,0
c8648bf3dfb98f7d5a172cd6da4bc143bcc2fa8822da8512c900a9f33f7a84d5_zipper.js,zipper,260523-w1yapagx2p,reported,0
10e1e8e1997deb2318804ff4a08d28389de662984f2cbeb0884044d05f77c4e7_zipper.js,zipper,260523-w14sgagx3j,reported,0
0794add65a271388acc6ab87a0dc2fe47373b40921f22dec12c02f74fbe6b154_zipper.js,zipper,260523-w16l3agx3m,reported,0
06d87d6d55159d12c4cf3940d376881932614028ac41c1734fe5e92f28fc39d2_zipper.js,zipper,260523-w18fnagx3n,reported,0
af77bb57c12e40a0f4ac6831bb8e6951d0c583fecea0f0132341ac676933e2e1_zipper.js,zipper,260523-w19nqabw4t,reported,0
bcab0580712475c75baee610f1f372ef524156bf097662fba710f293c8656f9f_zipper.js,zipper,260523-w2a7jsbw4w,reported,0
6fea579685d2433cedb1c32ef704575dcbc1d0a623769e824023ffccd0dedaae_zipper.js,zipper,260523-w2dmnsgx3q,reported,0
7ea5dbbd329ee4655116152a123120a56a343309be1b360ec36e36c76553094e_zipper.js,zipper,260523-w2ff9sbw4x,reported,0
cd351b01a774787db1d60071edda6851909e7c6059bb65e943e860e8547ee987_zipper.js,zipper,260523-w2hlmabw4z,reported,0
b57e46c3fa90bda23ffb9f1a5b7d962dc2226734653d92349bef54265e78684e_zipper.js,zipper,260523-w2ke8agx4j,reported,0
b7ef4985662625c45955db295d949e04fd0a9fd5c8ce0c6a3bcb68e4a06c16e4_zipper.js,zipper,260523-w2ly2sgx4k,reported,0
8eab346fa87e580ad28ccb514fd080d3b43a40f9bf58f2065dfa58db583c58c7_zipper.js,zipper,260523-w2n4eagx4l,reported,0
b853b61b0ac822b0544f86220bf521bb640c2de25d6de7fe1a92bceecebc3c09_zipper.js,zipper,260523-w2s3csgx4r,reported,0
116506107354d91ba1c1654b6bfaca1567862a96e4f6f0ab014d37d5b7a2fdd7_zipper.js,zipper,260523-w2v7qagx5k,reported,0
a995649cec82066509b1dbce5cfb00130de114363503e57206b9a6fe42f6fc1d_zipper.js,zipper,260523-w2xqjsgx5m,reported,0
c37c0db91ab188c2fe01642e04e0db9186bc5bf54ad8b6b72512ad5aab921a88_zipper.js,zipper,260523-w2zvxagx5n,reported,0
b63078647279770a6ee5e73c5b78f6958acfa5cca56951dc2807f2ddf601f9db_zipper.js,zipper,260523-w22dqsgx5p,reported,0
c120e004308414a9d61d97c5524241e753991df1da0fdf8fd155076c89f4cc48_zipper.js,zipper,260523-w238bsgx6j,reported,0
8f4cb07a4333f15fa8e585b00ef08ab329fda9fbc3802fdbdf579c194096ba9d_zipper.js,zipper,260523-w269zsgx6m,reported,0
c1bba56272310ef2b72d468b811c85cca4b0df44107308c4cb6d2f041ae4734e_zipper.js,zipper,260523-w29p4sgx6p,reported,0
c95db7526f321648daf2f40d98429e46dad56cbfcabc12ceb3d3c66189460b01_zipper.js,zipper,260523-w3bjpsgx7k,reported,0
416e8d1914e31950174c9dc49f5df1c78e7d203a83705803ac0a96d720749bde_zipper.js,zipper,260523-w3dn3agx7m,reported,0
b05410e06876298c0f10fa64c5cdd186c287738493e4d51a31f5ed949ebc00bc_zipper.js,zipper,260523-w3fhnagx7q,reported,0
39bd6476057eb7a4a6b6880a1abcda4e87dc62ad44e46c7256e0e2817f780fbe_zipper.js,zipper,260523-w3hb9agx8j,reported,0
b57e46c3fa90bda23ffb9f1a5b7d962dc2226734653d92349bef54265e78684e_original.js,original,260526-nyxmdaa17x,reported,0
f4c3833be951dadfb3bf0757f7710af8828c8f4bf81f3434ced633d633a538b2_original.js,original,260526-nyy57sgx6k,reported,0
8eab346fa87e580ad28ccb514fd080d3b43a40f9bf58f2065dfa58db583c58c7_original.js,original,260526-ny2akagx6p,reported,0
15387da23f7465d5c4ccd137bc21d15d74c0006c7536b92afed5337cdb3e0315_original.js,original,260526-ny346aa171,reported,0
c95db7526f321648daf2f40d98429e46dad56cbfcabc12ceb3d3c66189460b01_original.js,original,260526-ny5yraa18s,reported,0
dd20d29f9571400b35455b7d7423c5700b74bb6f218d6525f880bdf5e2ca63d5_original.js,original,260526-ny7scagx7n,reported,0
cd351b01a774787db1d60071edda6851909e7c6059bb65e943e860e8547ee987_original.js,original,260526-ny9xpsa18v,reported,0
b63078647279770a6ee5e73c5b78f6958acfa5cca56951dc2807f2ddf601f9db_original.js,original,260526-nzbrasa18x,reported,0
39bd6476057eb7a4a6b6880a1abcda4e87dc62ad44e46c7256e0e2817f780fbe_original.js,original,260526-nzc95aa18z,reported,0
024cd5104ebed3fb749352f9adc9aaf5a31d6fa83dbfcaf2ec827208a67b5d16_original.js,original,260526-nze4qaa181,reported,0
d7f6af5b758298f74943cc408fd2bb31d825bc94d54f7f376a73493ad330ff8d_original.js,original,260526-nzhvlsa19v,reported,0
c1bba56272310ef2b72d468b811c85cca4b0df44107308c4cb6d2f041ae4734e_original.js,original,260526-nzlaqsgx7q,reported,0
3b02f53d3047588b4c4d0c693f5dd25e1a0bb441170241510a76e81fb963a583_original.js,original,260526-nzne4aa19w,reported,0
d7f70c3813eca37a21e604b8c2d71c7ffce4d9fd01907b3f4a1f3fa17d1bba52_original.js,original,260526-nzp9pagx8j,reported,0
a05e19a327fb6c9208abf7866ef09c5efffabc04a80456b49c81c790a40880c5_original.js,original,260526-nzsptagx8l,reported,0
7187b82879d2c296cd822827166dcdc3e7b355738fe59f36920da896b49e8e36_original.js,original,260526-nzvjeagx8m,reported,0
380a220135fc5ec803cfe91143691d015de5015ffdb81f24d37cbfc129667d71_original.js,original,260526-nzw28sgx8n,reported,0
10e1e8e1997deb2318804ff4a08d28389de662984f2cbeb0884044d05f77c4e7_original.js,original,260526-nz3j1sa191,reported,0
be38bb3d0febd6cfca7fee8eae103ac9f3cd7396c69312309ae36261766e3e17_original.js,original,260526-nz9nbsgx9j,reported,0
d7ec72f2a254222a970caa80a7d78b6576b54e1c500a69d00b30451ee17575a1_original.js,original,260526-n1bgxsgx9k,reported,0
b201a03fc29a92568f2b8eb6b1e838f6f219113c0b523dae531ea737ab9da912_original.js,original,260526-n1dbhsgx9m,reported,0
c37c0db91ab188c2fe01642e04e0db9186bc5bf54ad8b6b72512ad5aab921a88_original.js,original,260526-n1ffwabs2s,reported,0
1cb26c6c611f755edc0c06a08743ec080e580992324acc7227145dba8a41520b_original.js,original,260526-n1hagabs2w,reported,0
c5cbcc786d5f4c5a53611f9c1738bdeaa3e76e0aa91f459438f79b099d5d7064_original.js,original,260526-n1j43agx9n,reported,0
06d87d6d55159d12c4cf3940d376881932614028ac41c1734fe5e92f28fc39d2_original.js,original,260526-n1lmwsgx9p,reported,0
f7605fc8a1ee5f21aec55da04dbaa95a05db95b5e7851b172a5d30c7fb1da885_original.js,original,260526-n1nggsbs2y,reported,0
927c6d68f6413e437e4a919b2007f6a2ade32be71f80467856ce19a0325b63eb_original.js,original,260526-n1qlvagy2j,reported,0
7ea5dbbd329ee4655116152a123120a56a343309be1b360ec36e36c76553094e_original.js,original,260526-n1r5nsgy2k,reported,0
6943d98c9665944bf66f10971f149e34297c005dcfc6cef83c25d7a9163218a8_original.js,original,260526-n1vkssbs3t,reported,0
0794add65a271388acc6ab87a0dc2fe47373b40921f22dec12c02f74fbe6b154_original.js,original,260526-n1xedsgy2m,reported,0
262bb0abdf65d6d2baa592eb249d2693281a1c9c6180d1e46c57e79f52cb37b4_original.js,original,260526-n1y8zsgy2r,reported,0
8f4cb07a4333f15fa8e585b00ef08ab329fda9fbc3802fdbdf579c194096ba9d_original.js,original,260526-n12zwabs3z,reported,0
ccbdf817ba435e666b930c8b8c2447b66581208ff6a870ad2d3f8c670bb18a44_original.js,original,260526-n14tgabs31,reported,0
af77bb57c12e40a0f4ac6831bb8e6951d0c583fecea0f0132341ac676933e2e1_original.js,original,260526-n16m3abs4s,reported,0
416e8d1914e31950174c9dc49f5df1c78e7d203a83705803ac0a96d720749bde_original.js,original,260526-n18gnabs4v,reported,0
bcab0580712475c75baee610f1f372ef524156bf097662fba710f293c8656f9f_original.js,original,260526-n2aa9abs4y,reported,0
37b86c4a87633aba320b23ef7ecb94b84d175025aa235ebdb2eb0c27b4180931_original.js,original,260526-n2b5vagy3k,reported,0
