Filename,Polyglot_Type,VT_Analysis_ID,Status
59d2899a00e51d8f410c5ff2f573fe1d21b9b6c71c010f53aac1a73e64ad0480_stack.sh,stack,NzZhMjYzZDg0NDA4Y2E3ZDg0MzlkYjJhZjg4YTVjOWQ6MTc3NTIzMDQ1NA==,Success
6bcae8f7016b166affdff426d2269c23feb5fcf5f482ee809976adea3e0f9453_stack.sh,stack,NDIxOTM2NThjMTZjMDNhNzYyZWYyZmVhNDFlN2ZlNmI6MTc3NTIzMDQ3Mw==,Success
a4904fb5c97b3b784b94adc86b2882ac18a87720783c48fda93db57cd7782a84_stack.sh,stack,NGJhMWZiM2FlZWFiZmQ0Y2E3YWYzMTIwMTRlMDViMDU6MTc3NTIzMDQ5NA==,Success
cefe4982af641fcbb0a1a30faaa639f0de617124bb282aa9394aa2a8ee4634e6_stack.sh,stack,MmRlNTM3MzRmN2EyOTU3NjY1NzgyNTEwNzIyODkxZmQ6MTc3NTIzMDUxMw==,Success
c7d62e129de1b306f45aa655f1da8158237b866261df3d1bd1c31ac89f0774c8_stack.sh,stack,ZDczNjRmOTE5NjkxNDYxYmRmOGVmODY1YTdjMDhhYjM6MTc3NTIzMDUzNQ==,Success
19680b70becbd4f0a44115dfa79a717603d530e2826cc6ff6d5645baba9a05c0_stack.sh,stack,ZjhkOTM4NGM2NzM5ZmFlOTY2M2I2NGM3NzMwNjkyMTA6MTc3NTIzMDU1Mw==,Success
21c9ee9681865b3f6a20ac8149a5b7d54ab76ad22ab02ba23c4261ee2a303aeb_stack.sh,stack,MTNmOTQxOWU2OTNmNjE1OGFjYzBiYmE1M2Y2YzI1NTg6MTc3NTIzMDU3Mg==,Success
5a5a0657dcf5e52fce7ff6ad331b4e655cbaada15029f2eb4b3abca066d0682c_stack.sh,stack,ODRjNTQ1NTAwMDQyNjUxZDAwNzY3N2ZhYjM1Y2UyMGU6MTc3NTIzMDU5Mg==,Success
396454060ee01e37b2b2cfe165541152283ccba81c2ebab0591f2baa4ec607dd_stack.sh,stack,MGYwNTQ0ZjcwMWY4OWE2MjZjNDAzZWVmZWM0MmZlMzg6MTc3NTIzMDYxMg==,Success
465d9e29fd4e7f614deb287428e1b595d291d535de4dfd571ab49da68314bade_stack.sh,stack,MzQwNTM0ZTczMDJiMDI2MWU3YmQ0NGNlNGMxMTdiMmM6MTc3NTIzMDYzMQ==,Success
a58fa03638110727f4a4a227f6ec2c0dceaeb39ccee89d12a4d727bb50d29dc0_stack.sh,stack,NjFiYWE1YTgzMDUwNGExMGNjMTY2NDI2ODNmMGJlMmI6MTc3NTIzMDY1MQ==,Success
